"germany_2020:QJW69187.1" "germany_2020:QJW69235.1" "germany_2020:QJW69151.1" "germany_2020:QJW69283.1" "germany_2020:QJC19431.1" "germany_2020:QJC19479.1" "germany_2020:QJW69259.1" "china_2019:YP_009724390.1" "germany_2020:QKF30850.1" "china_2019:QHD43416.1" "germany_2020:QJC19455.1" "china_2019:QHU36824.1" "china_2019:QIU81765.1" "china_2019:QIU81777.1" "china_2019:QIU81789.1" "china_2019:QIU81801.1" "china_2019:QIU81813.1" "china_2019:QHU36834.1" "china_2019:QHU36844.1" "china_2019:QHU36854.1" "germany_2020:QJC19419.1" "germany_2020:QJW69199.1" "germany_2020:QJW69175.1" "germany_2020:QJW69295.1" "germany_2020:QJC19443.1" "germany_2020:QJW69211.1" "germany_2020:QJW69271.1" "germany_2020:QJW69223.1" "germany_2020:QJC19467.1" "germany_2020:QJW69307.1" "germany_2020:QJW69163.1" "germany_2020:QJW69247.1" "germany_2020:QJF11935.1"
"germany_2020:QJC19455.1" 0.0396370017644709 0.0485452146283751 0.0396370017644709 0.0396370017644709 0.0396370017644709 0.0396370017644709 0.0396370017644709 0.0280275927335605 0.0396370017644709 0.0280275927335605 0 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0396370017644709 0.0396370017644709 0.0396370017644709 0.0396370017644709 0.0396370017644709 0.0396370017644709 0.0396370017644709 0.0396370017644709 0.0396370017644709 0.0396370017644709 0.0396370017644709 0.0424476359978009
"china_2019:QHU36824.1" 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0.0280275927335605 0 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0300150112593832
"china_2019:QIU81765.1" 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0.0280275927335605 0 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0300150112593832
"china_2019:QIU81777.1" 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0.0280275927335605 0 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0300150112593832
"china_2019:QIU81789.1" 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0.0280275927335605 0 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0300150112593832
"china_2019:QIU81801.1" 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0.0280275927335605 0 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0300150112593832
"china_2019:QIU81813.1" 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0.0280275927335605 0 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0300150112593832
"china_2019:QHU36834.1" 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0.0280275927335605 0 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0300150112593832
"china_2019:QHU36844.1" 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0.0280275927335605 0 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0300150112593832
"china_2019:QHU36854.1" 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0.0280275927335605 0 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0300150112593832
"germany_2020:QJC19419.1" 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0.0280275927335605 0 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0300150112593832
"germany_2020:QJW69199.1" 0 0.0280275927335605 0 0 0 0 0 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0 0
"germany_2020:QJW69175.1" 0 0.0280275927335605 0 0 0 0 0 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0 0
"germany_2020:QJW69295.1" 0 0.0280275927335605 0 0 0 0 0 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0 0
"germany_2020:QJC19443.1" 0 0.0280275927335605 0 0 0 0 0 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0 0
"germany_2020:QJW69211.1" 0 0.0280275927335605 0 0 0 0 0 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0 0
"germany_2020:QJW69271.1" 0 0.0280275927335605 0 0 0 0 0 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0 0
"germany_2020:QJW69223.1" 0 0.0280275927335605 0 0 0 0 0 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0 0
"germany_2020:QJC19467.1" 0 0.0280275927335605 0 0 0 0 0 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0 0
"germany_2020:QJW69307.1" 0 0.0280275927335605 0 0 0 0 0 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0 0
"germany_2020:QJW69163.1" 0 0.0280275927335605 0 0 0 0 0 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0 0
"germany_2020:QJW69247.1" 0 0.0280275927335605 0 0 0 0 0 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0396370017644709 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0.0280275927335605 0 0 0 0 0 0 0 0 0 0 0 0
"germany_2020:QJF11935.1" 0 0.0300150112593832 0 0 0 0 0 0.0300150112593832 0.0424476359978009 0.0300150112593832 0.0424476359978009 0.0300150112593832 0.0300150112593832 0.0300150112593832 0.0300150112593832 0.0300150112593832 0.0300150112593832 0.0300150112593832 0.0300150112593832 0.0300150112593832 0.0300150112593832 0 0 0 0 0 0 0 0 0 0 0 0
